kode_barang,nama_barang,stok,nama_bagian
BRG-0001,"Barang Contoh Ke-1",448,"Pengadaan Tanah dan Pengembangan"
BRG-0002,"Barang Contoh Ke-2",171,"Penataan dan Pemberdayaan"
BRG-0003,"Barang Contoh Ke-3",379,"Penetapan Hak dan Pendaftaran"
BRG-0004,"Barang Contoh Ke-4",70,"Penetapan Hak dan Pendaftaran"
BRG-0005,"Barang Contoh Ke-5",261,"Penetapan Hak dan Pendaftaran"
BRG-0006,"Barang Contoh Ke-6",29,"Tata Usaha"
BRG-0007,"Barang Contoh Ke-7",340,"Tata Usaha"
BRG-0008,"Barang Contoh Ke-8",163,"Penataan dan Pemberdayaan"
BRG-0009,"Barang Contoh Ke-9",66,"Penetapan Hak dan Pendaftaran"
BRG-0010,"Barang Contoh Ke-10",425,"Survei dan Pemetaan"
BRG-0011,"Barang Contoh Ke-11",299,"Pengendalian dan Penanganan Sengketa"
BRG-0012,"Barang Contoh Ke-12",409,"Survei dan Pemetaan"
BRG-0013,"Barang Contoh Ke-13",30,"Penetapan Hak dan Pendaftaran"
BRG-0014,"Barang Contoh Ke-14",368,"Tata Usaha"
BRG-0015,"Barang Contoh Ke-15",453,"Survei dan Pemetaan"
BRG-0016,"Barang Contoh Ke-16",346,"Pengendalian dan Penanganan Sengketa"
BRG-0017,"Barang Contoh Ke-17",52,"Tata Usaha"
BRG-0018,"Barang Contoh Ke-18",38,"Penataan dan Pemberdayaan"
BRG-0019,"Barang Contoh Ke-19",216,"Pengendalian dan Penanganan Sengketa"
BRG-0020,"Barang Contoh Ke-20",123,"Pengadaan Tanah dan Pengembangan"
BRG-0021,"Barang Contoh Ke-21",299,"Tata Usaha"
BRG-0022,"Barang Contoh Ke-22",265,"Penataan dan Pemberdayaan"
BRG-0023,"Barang Contoh Ke-23",227,"Survei dan Pemetaan"
BRG-0024,"Barang Contoh Ke-24",461,"Penataan dan Pemberdayaan"
BRG-0025,"Barang Contoh Ke-25",45,"Penetapan Hak dan Pendaftaran"
BRG-0026,"Barang Contoh Ke-26",308,"Penetapan Hak dan Pendaftaran"
BRG-0027,"Barang Contoh Ke-27",302,"Pengendalian dan Penanganan Sengketa"
BRG-0028,"Barang Contoh Ke-28",288,"Pengadaan Tanah dan Pengembangan"
BRG-0029,"Barang Contoh Ke-29",10,"Pengadaan Tanah dan Pengembangan"
BRG-0030,"Barang Contoh Ke-30",489,"Penetapan Hak dan Pendaftaran"
BRG-0031,"Barang Contoh Ke-31",181,"Pengendalian dan Penanganan Sengketa"
BRG-0032,"Barang Contoh Ke-32",244,"Survei dan Pemetaan"
BRG-0033,"Barang Contoh Ke-33",193,"Penataan dan Pemberdayaan"
BRG-0034,"Barang Contoh Ke-34",125,"Pengadaan Tanah dan Pengembangan"
BRG-0035,"Barang Contoh Ke-35",473,"Penetapan Hak dan Pendaftaran"
BRG-0036,"Barang Contoh Ke-36",293,"Penataan dan Pemberdayaan"
BRG-0037,"Barang Contoh Ke-37",326,"Pengadaan Tanah dan Pengembangan"
BRG-0038,"Barang Contoh Ke-38",279,"Pengendalian dan Penanganan Sengketa"
BRG-0039,"Barang Contoh Ke-39",246,"Pengadaan Tanah dan Pengembangan"
BRG-0040,"Barang Contoh Ke-40",487,"Pengadaan Tanah dan Pengembangan"
BRG-0041,"Barang Contoh Ke-41",320,"Pengadaan Tanah dan Pengembangan"
BRG-0042,"Barang Contoh Ke-42",117,"Survei dan Pemetaan"
BRG-0043,"Barang Contoh Ke-43",309,"Tata Usaha"
BRG-0044,"Barang Contoh Ke-44",192,"Survei dan Pemetaan"
BRG-0045,"Barang Contoh Ke-45",361,"Penetapan Hak dan Pendaftaran"
BRG-0046,"Barang Contoh Ke-46",447,"Tata Usaha"
BRG-0047,"Barang Contoh Ke-47",348,"Penataan dan Pemberdayaan"
BRG-0048,"Barang Contoh Ke-48",293,"Penetapan Hak dan Pendaftaran"
BRG-0049,"Barang Contoh Ke-49",342,"Penataan dan Pemberdayaan"
BRG-0050,"Barang Contoh Ke-50",463,"Tata Usaha"
BRG-0051,"Barang Contoh Ke-51",52,"Survei dan Pemetaan"
BRG-0052,"Barang Contoh Ke-52",460,"Penataan dan Pemberdayaan"
BRG-0053,"Barang Contoh Ke-53",297,"Tata Usaha"
BRG-0054,"Barang Contoh Ke-54",228,"Penetapan Hak dan Pendaftaran"
BRG-0055,"Barang Contoh Ke-55",413,"Survei dan Pemetaan"
BRG-0056,"Barang Contoh Ke-56",136,"Penetapan Hak dan Pendaftaran"
BRG-0057,"Barang Contoh Ke-57",433,"Penataan dan Pemberdayaan"
BRG-0058,"Barang Contoh Ke-58",288,"Tata Usaha"
BRG-0059,"Barang Contoh Ke-59",494,"Survei dan Pemetaan"
BRG-0060,"Barang Contoh Ke-60",104,"Penataan dan Pemberdayaan"
BRG-0061,"Barang Contoh Ke-61",271,"Pengendalian dan Penanganan Sengketa"
BRG-0062,"Barang Contoh Ke-62",472,"Pengadaan Tanah dan Pengembangan"
BRG-0063,"Barang Contoh Ke-63",265,"Survei dan Pemetaan"
BRG-0064,"Barang Contoh Ke-64",53,"Penetapan Hak dan Pendaftaran"
BRG-0065,"Barang Contoh Ke-65",274,"Pengendalian dan Penanganan Sengketa"
BRG-0066,"Barang Contoh Ke-66",232,"Tata Usaha"
BRG-0067,"Barang Contoh Ke-67",425,"Pengendalian dan Penanganan Sengketa"
BRG-0068,"Barang Contoh Ke-68",274,"Pengadaan Tanah dan Pengembangan"
BRG-0069,"Barang Contoh Ke-69",252,"Tata Usaha"
BRG-0070,"Barang Contoh Ke-70",338,"Survei dan Pemetaan"
BRG-0071,"Barang Contoh Ke-71",470,"Penataan dan Pemberdayaan"
BRG-0072,"Barang Contoh Ke-72",282,"Pengendalian dan Penanganan Sengketa"
BRG-0073,"Barang Contoh Ke-73",131,"Pengadaan Tanah dan Pengembangan"
BRG-0074,"Barang Contoh Ke-74",24,"Survei dan Pemetaan"
BRG-0075,"Barang Contoh Ke-75",455,"Tata Usaha"
BRG-0076,"Barang Contoh Ke-76",316,"Penataan dan Pemberdayaan"
BRG-0077,"Barang Contoh Ke-77",79,"Pengendalian dan Penanganan Sengketa"
BRG-0078,"Barang Contoh Ke-78",141,"Survei dan Pemetaan"
BRG-0079,"Barang Contoh Ke-79",367,"Penetapan Hak dan Pendaftaran"
BRG-0080,"Barang Contoh Ke-80",284,"Penataan dan Pemberdayaan"
BRG-0081,"Barang Contoh Ke-81",322,"Pengendalian dan Penanganan Sengketa"
BRG-0082,"Barang Contoh Ke-82",482,"Penataan dan Pemberdayaan"
BRG-0083,"Barang Contoh Ke-83",359,"Survei dan Pemetaan"
BRG-0084,"Barang Contoh Ke-84",399,"Penetapan Hak dan Pendaftaran"
BRG-0085,"Barang Contoh Ke-85",410,"Survei dan Pemetaan"
BRG-0086,"Barang Contoh Ke-86",24,"Pengendalian dan Penanganan Sengketa"
BRG-0087,"Barang Contoh Ke-87",218,"Survei dan Pemetaan"
BRG-0088,"Barang Contoh Ke-88",310,"Penataan dan Pemberdayaan"
BRG-0089,"Barang Contoh Ke-89",310,"Penetapan Hak dan Pendaftaran"
BRG-0090,"Barang Contoh Ke-90",263,"Pengadaan Tanah dan Pengembangan"
BRG-0091,"Barang Contoh Ke-91",20,"Penetapan Hak dan Pendaftaran"
BRG-0092,"Barang Contoh Ke-92",493,"Pengadaan Tanah dan Pengembangan"
BRG-0093,"Barang Contoh Ke-93",232,"Penataan dan Pemberdayaan"
BRG-0094,"Barang Contoh Ke-94",421,"Survei dan Pemetaan"
BRG-0095,"Barang Contoh Ke-95",143,"Tata Usaha"
BRG-0096,"Barang Contoh Ke-96",490,"Pengendalian dan Penanganan Sengketa"
BRG-0097,"Barang Contoh Ke-97",427,"Penataan dan Pemberdayaan"
BRG-0098,"Barang Contoh Ke-98",277,"Pengendalian dan Penanganan Sengketa"
BRG-0099,"Barang Contoh Ke-99",369,"Tata Usaha"
BRG-0100,"Barang Contoh Ke-100",340,"Pengadaan Tanah dan Pengembangan"
BRG-0101,"Barang Contoh Ke-101",192,"Penataan dan Pemberdayaan"
BRG-0102,"Barang Contoh Ke-102",480,"Pengadaan Tanah dan Pengembangan"
BRG-0103,"Barang Contoh Ke-103",57,"Penetapan Hak dan Pendaftaran"
BRG-0104,"Barang Contoh Ke-104",264,"Survei dan Pemetaan"
BRG-0105,"Barang Contoh Ke-105",373,"Penetapan Hak dan Pendaftaran"
BRG-0106,"Barang Contoh Ke-106",183,"Pengendalian dan Penanganan Sengketa"
BRG-0107,"Barang Contoh Ke-107",104,"Survei dan Pemetaan"
BRG-0108,"Barang Contoh Ke-108",100,"Pengadaan Tanah dan Pengembangan"
BRG-0109,"Barang Contoh Ke-109",126,"Penataan dan Pemberdayaan"
BRG-0110,"Barang Contoh Ke-110",212,"Pengadaan Tanah dan Pengembangan"
BRG-0111,"Barang Contoh Ke-111",18,"Tata Usaha"
BRG-0112,"Barang Contoh Ke-112",120,"Pengadaan Tanah dan Pengembangan"
BRG-0113,"Barang Contoh Ke-113",273,"Penetapan Hak dan Pendaftaran"
BRG-0114,"Barang Contoh Ke-114",174,"Pengendalian dan Penanganan Sengketa"
BRG-0115,"Barang Contoh Ke-115",454,"Penetapan Hak dan Pendaftaran"
BRG-0116,"Barang Contoh Ke-116",385,"Tata Usaha"
BRG-0117,"Barang Contoh Ke-117",43,"Pengadaan Tanah dan Pengembangan"
BRG-0118,"Barang Contoh Ke-118",108,"Pengadaan Tanah dan Pengembangan"
BRG-0119,"Barang Contoh Ke-119",250,"Penetapan Hak dan Pendaftaran"
BRG-0120,"Barang Contoh Ke-120",47,"Penataan dan Pemberdayaan"
BRG-0121,"Barang Contoh Ke-121",174,"Penataan dan Pemberdayaan"
BRG-0122,"Barang Contoh Ke-122",435,"Pengadaan Tanah dan Pengembangan"
BRG-0123,"Barang Contoh Ke-123",459,"Pengendalian dan Penanganan Sengketa"
BRG-0124,"Barang Contoh Ke-124",12,"Pengadaan Tanah dan Pengembangan"
BRG-0125,"Barang Contoh Ke-125",370,"Survei dan Pemetaan"
BRG-0126,"Barang Contoh Ke-126",59,"Pengendalian dan Penanganan Sengketa"
BRG-0127,"Barang Contoh Ke-127",133,"Penetapan Hak dan Pendaftaran"
BRG-0128,"Barang Contoh Ke-128",377,"Penetapan Hak dan Pendaftaran"
BRG-0129,"Barang Contoh Ke-129",299,"Penataan dan Pemberdayaan"
BRG-0130,"Barang Contoh Ke-130",32,"Tata Usaha"
BRG-0131,"Barang Contoh Ke-131",31,"Penataan dan Pemberdayaan"
BRG-0132,"Barang Contoh Ke-132",280,"Pengendalian dan Penanganan Sengketa"
BRG-0133,"Barang Contoh Ke-133",104,"Pengendalian dan Penanganan Sengketa"
BRG-0134,"Barang Contoh Ke-134",286,"Pengendalian dan Penanganan Sengketa"
BRG-0135,"Barang Contoh Ke-135",190,"Pengadaan Tanah dan Pengembangan"
BRG-0136,"Barang Contoh Ke-136",292,"Pengendalian dan Penanganan Sengketa"
BRG-0137,"Barang Contoh Ke-137",452,"Survei dan Pemetaan"
BRG-0138,"Barang Contoh Ke-138",310,"Survei dan Pemetaan"
BRG-0139,"Barang Contoh Ke-139",211,"Pengendalian dan Penanganan Sengketa"
BRG-0140,"Barang Contoh Ke-140",211,"Survei dan Pemetaan"
BRG-0141,"Barang Contoh Ke-141",432,"Pengadaan Tanah dan Pengembangan"
BRG-0142,"Barang Contoh Ke-142",22,"Tata Usaha"
BRG-0143,"Barang Contoh Ke-143",471,"Pengadaan Tanah dan Pengembangan"
BRG-0144,"Barang Contoh Ke-144",226,"Pengendalian dan Penanganan Sengketa"
BRG-0145,"Barang Contoh Ke-145",433,"Penetapan Hak dan Pendaftaran"
BRG-0146,"Barang Contoh Ke-146",222,"Penetapan Hak dan Pendaftaran"
BRG-0147,"Barang Contoh Ke-147",280,"Penetapan Hak dan Pendaftaran"
BRG-0148,"Barang Contoh Ke-148",491,"Penataan dan Pemberdayaan"
BRG-0149,"Barang Contoh Ke-149",119,"Penetapan Hak dan Pendaftaran"
BRG-0150,"Barang Contoh Ke-150",259,"Pengadaan Tanah dan Pengembangan"
BRG-0151,"Barang Contoh Ke-151",84,"Survei dan Pemetaan"
BRG-0152,"Barang Contoh Ke-152",286,"Tata Usaha"
BRG-0153,"Barang Contoh Ke-153",157,"Penetapan Hak dan Pendaftaran"
BRG-0154,"Barang Contoh Ke-154",405,"Pengendalian dan Penanganan Sengketa"
BRG-0155,"Barang Contoh Ke-155",60,"Pengadaan Tanah dan Pengembangan"
BRG-0156,"Barang Contoh Ke-156",104,"Penetapan Hak dan Pendaftaran"
BRG-0157,"Barang Contoh Ke-157",71,"Penetapan Hak dan Pendaftaran"
BRG-0158,"Barang Contoh Ke-158",490,"Pengendalian dan Penanganan Sengketa"
BRG-0159,"Barang Contoh Ke-159",340,"Pengadaan Tanah dan Pengembangan"
BRG-0160,"Barang Contoh Ke-160",36,"Penataan dan Pemberdayaan"
BRG-0161,"Barang Contoh Ke-161",450,"Pengadaan Tanah dan Pengembangan"
BRG-0162,"Barang Contoh Ke-162",236,"Tata Usaha"
BRG-0163,"Barang Contoh Ke-163",44,"Survei dan Pemetaan"
BRG-0164,"Barang Contoh Ke-164",319,"Pengendalian dan Penanganan Sengketa"
BRG-0165,"Barang Contoh Ke-165",23,"Pengadaan Tanah dan Pengembangan"
BRG-0166,"Barang Contoh Ke-166",182,"Pengadaan Tanah dan Pengembangan"
BRG-0167,"Barang Contoh Ke-167",91,"Penataan dan Pemberdayaan"
BRG-0168,"Barang Contoh Ke-168",491,"Penetapan Hak dan Pendaftaran"
BRG-0169,"Barang Contoh Ke-169",57,"Pengadaan Tanah dan Pengembangan"
BRG-0170,"Barang Contoh Ke-170",351,"Pengadaan Tanah dan Pengembangan"
BRG-0171,"Barang Contoh Ke-171",406,"Penataan dan Pemberdayaan"
BRG-0172,"Barang Contoh Ke-172",345,"Survei dan Pemetaan"
BRG-0173,"Barang Contoh Ke-173",324,"Penataan dan Pemberdayaan"
BRG-0174,"Barang Contoh Ke-174",309,"Pengadaan Tanah dan Pengembangan"
BRG-0175,"Barang Contoh Ke-175",310,"Pengendalian dan Penanganan Sengketa"
BRG-0176,"Barang Contoh Ke-176",442,"Pengadaan Tanah dan Pengembangan"
BRG-0177,"Barang Contoh Ke-177",282,"Survei dan Pemetaan"
BRG-0178,"Barang Contoh Ke-178",31,"Survei dan Pemetaan"
BRG-0179,"Barang Contoh Ke-179",358,"Pengendalian dan Penanganan Sengketa"
BRG-0180,"Barang Contoh Ke-180",396,"Survei dan Pemetaan"
BRG-0181,"Barang Contoh Ke-181",277,"Penetapan Hak dan Pendaftaran"
BRG-0182,"Barang Contoh Ke-182",105,"Pengendalian dan Penanganan Sengketa"
BRG-0183,"Barang Contoh Ke-183",55,"Pengendalian dan Penanganan Sengketa"
BRG-0184,"Barang Contoh Ke-184",409,"Pengadaan Tanah dan Pengembangan"
BRG-0185,"Barang Contoh Ke-185",268,"Penataan dan Pemberdayaan"
BRG-0186,"Barang Contoh Ke-186",46,"Penataan dan Pemberdayaan"
BRG-0187,"Barang Contoh Ke-187",446,"Pengendalian dan Penanganan Sengketa"
BRG-0188,"Barang Contoh Ke-188",193,"Pengadaan Tanah dan Pengembangan"
BRG-0189,"Barang Contoh Ke-189",375,"Penataan dan Pemberdayaan"
BRG-0190,"Barang Contoh Ke-190",224,"Pengendalian dan Penanganan Sengketa"
BRG-0191,"Barang Contoh Ke-191",154,"Pengadaan Tanah dan Pengembangan"
BRG-0192,"Barang Contoh Ke-192",26,"Penetapan Hak dan Pendaftaran"
BRG-0193,"Barang Contoh Ke-193",243,"Pengendalian dan Penanganan Sengketa"
BRG-0194,"Barang Contoh Ke-194",345,"Penetapan Hak dan Pendaftaran"
BRG-0195,"Barang Contoh Ke-195",288,"Pengadaan Tanah dan Pengembangan"
BRG-0196,"Barang Contoh Ke-196",93,"Penetapan Hak dan Pendaftaran"
BRG-0197,"Barang Contoh Ke-197",109,"Penataan dan Pemberdayaan"
BRG-0198,"Barang Contoh Ke-198",139,"Penataan dan Pemberdayaan"
BRG-0199,"Barang Contoh Ke-199",20,"Survei dan Pemetaan"
BRG-0200,"Barang Contoh Ke-200",265,"Tata Usaha"
BRG-0201,"Barang Contoh Ke-201",72,"Pengadaan Tanah dan Pengembangan"
BRG-0202,"Barang Contoh Ke-202",202,"Survei dan Pemetaan"
BRG-0203,"Barang Contoh Ke-203",32,"Tata Usaha"
BRG-0204,"Barang Contoh Ke-204",146,"Penataan dan Pemberdayaan"
BRG-0205,"Barang Contoh Ke-205",355,"Penetapan Hak dan Pendaftaran"
BRG-0206,"Barang Contoh Ke-206",126,"Tata Usaha"
BRG-0207,"Barang Contoh Ke-207",392,"Pengadaan Tanah dan Pengembangan"
BRG-0208,"Barang Contoh Ke-208",328,"Tata Usaha"
BRG-0209,"Barang Contoh Ke-209",302,"Penetapan Hak dan Pendaftaran"
BRG-0210,"Barang Contoh Ke-210",429,"Survei dan Pemetaan"
BRG-0211,"Barang Contoh Ke-211",25,"Penataan dan Pemberdayaan"
BRG-0212,"Barang Contoh Ke-212",116,"Survei dan Pemetaan"
BRG-0213,"Barang Contoh Ke-213",166,"Pengendalian dan Penanganan Sengketa"
BRG-0214,"Barang Contoh Ke-214",125,"Penetapan Hak dan Pendaftaran"
BRG-0215,"Barang Contoh Ke-215",278,"Penataan dan Pemberdayaan"
BRG-0216,"Barang Contoh Ke-216",461,"Pengendalian dan Penanganan Sengketa"
BRG-0217,"Barang Contoh Ke-217",102,"Pengadaan Tanah dan Pengembangan"
BRG-0218,"Barang Contoh Ke-218",383,"Penataan dan Pemberdayaan"
BRG-0219,"Barang Contoh Ke-219",200,"Pengendalian dan Penanganan Sengketa"
BRG-0220,"Barang Contoh Ke-220",411,"Survei dan Pemetaan"
BRG-0221,"Barang Contoh Ke-221",175,"Tata Usaha"
BRG-0222,"Barang Contoh Ke-222",126,"Pengendalian dan Penanganan Sengketa"
BRG-0223,"Barang Contoh Ke-223",494,"Survei dan Pemetaan"
BRG-0224,"Barang Contoh Ke-224",160,"Pengendalian dan Penanganan Sengketa"
BRG-0225,"Barang Contoh Ke-225",75,"Penetapan Hak dan Pendaftaran"
BRG-0226,"Barang Contoh Ke-226",176,"Pengadaan Tanah dan Pengembangan"
BRG-0227,"Barang Contoh Ke-227",363,"Penetapan Hak dan Pendaftaran"
BRG-0228,"Barang Contoh Ke-228",132,"Penetapan Hak dan Pendaftaran"
BRG-0229,"Barang Contoh Ke-229",333,"Pengendalian dan Penanganan Sengketa"
BRG-0230,"Barang Contoh Ke-230",32,"Tata Usaha"
BRG-0231,"Barang Contoh Ke-231",55,"Pengadaan Tanah dan Pengembangan"
BRG-0232,"Barang Contoh Ke-232",49,"Survei dan Pemetaan"
BRG-0233,"Barang Contoh Ke-233",172,"Tata Usaha"
BRG-0234,"Barang Contoh Ke-234",429,"Survei dan Pemetaan"
BRG-0235,"Barang Contoh Ke-235",34,"Survei dan Pemetaan"
BRG-0236,"Barang Contoh Ke-236",278,"Penetapan Hak dan Pendaftaran"
BRG-0237,"Barang Contoh Ke-237",360,"Survei dan Pemetaan"
BRG-0238,"Barang Contoh Ke-238",397,"Tata Usaha"
BRG-0239,"Barang Contoh Ke-239",211,"Pengadaan Tanah dan Pengembangan"
BRG-0240,"Barang Contoh Ke-240",88,"Penataan dan Pemberdayaan"
BRG-0241,"Barang Contoh Ke-241",83,"Pengendalian dan Penanganan Sengketa"
BRG-0242,"Barang Contoh Ke-242",376,"Tata Usaha"
BRG-0243,"Barang Contoh Ke-243",81,"Pengadaan Tanah dan Pengembangan"
BRG-0244,"Barang Contoh Ke-244",303,"Penetapan Hak dan Pendaftaran"
BRG-0245,"Barang Contoh Ke-245",329,"Penataan dan Pemberdayaan"
BRG-0246,"Barang Contoh Ke-246",82,"Penetapan Hak dan Pendaftaran"
BRG-0247,"Barang Contoh Ke-247",372,"Pengadaan Tanah dan Pengembangan"
BRG-0248,"Barang Contoh Ke-248",464,"Survei dan Pemetaan"
BRG-0249,"Barang Contoh Ke-249",361,"Pengendalian dan Penanganan Sengketa"
BRG-0250,"Barang Contoh Ke-250",155,"Penetapan Hak dan Pendaftaran"
BRG-0251,"Barang Contoh Ke-251",372,"Survei dan Pemetaan"
